raw_text,price,bedrooms,location,type,date,message_id,link
"НЕАПОЛИС
ДОМУ 3 ГОДА

BRAIN ROCKET

2 спальни
ЦЕНТРАЛЬНОЕ ОТОПЛЕНИЕ

1700 евро+депозит
Рег. No 186/ лиц.No 56",,2.0,Brain Rocket,,2025-03-10T17:06:36+00:00,697718,https://t.me/c/219615/697718
"#Аренда #Лимассол  - Гермасойя


☑️ 1 спальня
☑️ 1 санузел
☑️ Площадь: 60 м²
☑️ Бассейн с подогревом воды
☑️ Спортзал
☑️ Сауна
☑️ Питомцы разрешены
☑️ Kрытый паркинг
☑️ 3-ий этаж
☑️ Год постройки 2024 г
☑️ Фотоэлектрические панели
☑️ Тёплый пол
☑️ VRV система кондиционирования
☑️ Смарт ТВ

Цена: 2000 EURO в месяц 


Whats App : +35795589139
Telegram:@inhomecyprus

              
inHome Agency
Reg No.1208 License No. 65/E
Ref:866 Д2",2000.0,1.0,Лимассол,,2025-03-10T17:04:22+00:00,697717,https://t.me/c/219615/697717
"Rent/Limassol

1 bedroom ground floor apartment with common pool in Panthea/Agia Fyla
Furnished & equipped
Parking

€1100

R.N. 1283
L.N. 652",1100.0,1.0,Limassol,,2025-03-10T16:53:01+00:00,697711,https://t.me/c/219615/697711
"Аренда  кв., 3 сп.,
Лимассол,Гермасойя 
2 эт.,164м2,теплый пол,
Без  🐈‍⬛️, 2022г.
💶3300€ 
RN186LN56
+357 99 324109 Joulia",3300.0,3.0,Лимассол,,2025-03-10T16:50:43+00:00,697706,https://t.me/c/219615/697706
"ГЕРМАСОЙЯ
ЖК COLUMBIA RESIDENCE
ПРИВАТНЫЙ БАССЕЙН

Двухэтажные апартаменты 
ДУПЛЕКС

3 спальни 2 с/у
Новая мебель, техника

2000 евро+депозит 
Рег. No 186/ лиц.No 56",,3.0,Гермасойя,,2025-03-10T16:45:00+00:00,697702,https://t.me/c/219615/697702
"👑 UNIVERSAL RESIDENCES D IV - MOVING DOORS
#Аренда #Пафос #Rent #Paphos
Paphos - Universal
Полностью меблированная студия
❣️ Общая площадь: 35 m²
❣️ 1 Bathroom
❣️ Полностью меблирована
❣️ Балкон
❣️ Бассейн

Цена: €850/месяц
whatsapp: +357 95903790
#justbringyoursuitcase
reg: HE428900",850.0,0.0,Pafos - Universal,,2025-03-10T16:44:01+00:00,697698,https://t.me/c/219615/697698
"#АРЕНДА (длит) – 1 сп квартира  
▪️ЛИМАСОЛ/Гермасойя (напротив парка Дасуди)    
▪️Крытая площадь 60м+большая веранда  
▪️С/у с ванной-джакуззи  
▪️Двойные хорошие окна 
▪️ТЕПЛЫЕ ПОЛЫ!
▪️Новая бытовая техника и мебель
▪️Хорошая система кондиционирования 
▪️Крытая парковка  
▪️ Море через дорогу
▪️ В этом же здании открылся модный фитнес зал 
▪️ГОТОВА К ЗАСЕЛЕНИЮ!
🔶Цена 1950 евро
☎️95570105
R.1029",1950.0,1.0,Лимассол,,2025-03-10T16:36:50+00:00,697688,https://t.me/c/219615/697688
"#АРЕНДА (длительная) – 4 спальный современный дом  
ЛИМАСОЛ/Гермасойя 
▪️Крытая площадь дома 260м2
▪️+Roof garden (на 3-ем уровне)
▪️Просторный цокольный этаж 
▪️4 с/у 
▪️Кондиционеры и настенные электрические радиаторы
▪️Установлены солнечные панели для горячей воды.
▪️Отдельная кухня со всей современной бытовой техникой
▪️Частный бассейн  
▪️Парковка 
НОВАЯ Мебель и вся бытовая техника
▪️Пешая доступность до пляжа (5мин пешком)!
⭐️ЦЕНА 4.000  евро ⭐️ 
☎️95570105
R.1029",4.0,4.0,Лимассол,,2025-03-10T16:33:26+00:00,697680,https://t.me/c/219615/697680
"Квартира на продажу
€420000
Лимассол, Agios Georgios

3 этаж
74 м2
2 спальни
2 ванные
Хороший ремонт
Новый
Руфгарден
Reg:1234|Lic: 603/E ID: za10101",420000.0,2.0,Лимассол,,2025-03-10T16:14:01+00:00,697674,https://t.me/c/219615/697674
"Квартира в аренду
€1500 
Лимассол,  Episkopi

3 этаж
115 м²
2 спальни
2 ванных
Мебель
Новый дом

Reg:1234|Lic:603/E ID: 5689319",1500.0,2.0,Лимассол Episkopi,,2025-03-10T16:11:47+00:00,697665,https://t.me/c/219615/697665
"Продажа  кв., 2 сп.,
Лимассол,Гермасойя 
1 эт., 67м2, Кр.вер. 8м2
1981г.
💶220.000€
RN186LN56
+357 99 324109 Joulia",220.0,2.0,Лимассол,(?i)продажа,2025-03-10T16:03:01+00:00,697659,https://t.me/c/219615/697659
"#Аренда #Лимассол  - Пантея 


☑️ 2 спальни
☑️ 2 санузла
☑️ Площадь: 95 м²
☑️ Крытая парковка
☑️ Граунд флор
☑️ Год постройки 2021 г
☑️ Полностью мебелирована
☑️ Питомцы  разрешены



Цена: 2000 EURO в месяц ( два депозита)



Whats App : +35795589139
Telegram:@inhomecyprus

              inHome Agency
Reg No.1208 License No. 65/E
Ref:843 Д",2000.0,2.0,Лимассол,,2025-03-10T16:02:30+00:00,697658,https://t.me/c/219615/697658
"Аренда от собственника.Сдается 2сп мезонет Патомас Гермамоя Лимассол.
После ремонта, мебель, терраса, балкон-1500€",1500.0,2.0,Лимассол,,2025-03-10T15:44:41+00:00,697651,https://t.me/c/219615/697651
"👑 PLATINUM 77 X - MOVING DOORS
#Аренда #Лимассол #Rent #Limassol
Лимассол - Omonia
Полностью меблированные апартаменты с 2 спальнями
❣️ Общая площадь: 75 m²
❣️ 1 Ванная комната
❣️ Полностью меблированы
❣️ Балкон
❣️ Бассейн
❣️ Кладовая
❣️ Парковка

Цена: €1450/месяц
whatsapp: +357 95903790
#justbringyoursuitcase
reg: HE428900",1450.0,2.0,Лимассол - Omonia,,2025-03-10T15:44:01+00:00,697647,https://t.me/c/219615/697647
"#Аренда #Лимассол  - Неаполис 


☑️ 2 спальня
☑️ 2 санузла
☑️ Площадь: 100 м²
☑️ Год постройки 2019г
☑️ 3-ий этаж
☑️ Питомцы не разрешены
☑️ Отопление



Цена: 1750 EURO в месяц (один депозит)


Whats App : +35795589139
Telegram:@inhomecyprus


inHome Agency
Reg No.1208 License No. 65/E
Ref:610",1750.0,2.0,Лимассол - Неаполис,,2025-03-10T15:23:08+00:00,697641,https://t.me/c/219615/697641
